;Cod_Data;Count;Cod_munincipio;Cod_Estado;Cod_regiao
219;20210521;3326;530010.0;53;5
220;20210522;458;530010.0;53;5
221;20210523;388;530010.0;53;5
222;20210524;3320;530010.0;53;5
223;20210525;2279;530010.0;53;5
224;20210526;3278;530010.0;53;5
225;20210527;3284;530010.0;53;5
226;20210528;3066;530010.0;53;5
227;20210529;1080;530010.0;53;5
228;20210530;969;530010.0;53;5
229;20210531;5066;530010.0;53;5
230;20210601;5054;530010.0;53;5
231;20210602;4913;530010.0;53;5
232;20210603;346;530010.0;53;5
233;20210604;4304;530010.0;53;5
234;20210605;1240;530010.0;53;5
235;20210606;1141;530010.0;53;5
236;20210607;4815;530010.0;53;5
237;20210608;2866;530010.0;53;5
238;20210609;5050;530010.0;53;5
239;20210610;4582;530010.0;53;5
240;20210611;3484;530010.0;53;5
241;20210612;2107;530010.0;53;5
242;20210613;2016;530010.0;53;5
243;20210614;7947;530010.0;53;5
244;20210615;7856;530010.0;53;5
245;20210616;7519;530010.0;53;5
246;20210617;9558;530010.0;53;5
247;20210618;9710;530010.0;53;5
248;20210619;1619;530010.0;53;5
249;20210620;1677;530010.0;53;5
250;20210621;3849;530010.0;53;5
251;20210622;3699;530010.0;53;5
252;20210623;2722;530010.0;53;5
253;20210624;3461;530010.0;53;5
254;20210625;3222;530010.0;53;5
255;20210626;1512;530010.0;53;5
256;20210627;1571;530010.0;53;5
257;20210628;7554;530010.0;53;5
258;20210629;6416;530010.0;53;5
259;20210630;4837;530010.0;53;5
260;20210701;3402;530010.0;53;5
261;20210702;5889;530010.0;53;5
262;20210703;1317;530010.0;53;5
263;20210704;1635;530010.0;53;5
264;20210705;5339;530010.0;53;5
265;20210706;4559;530010.0;53;5
266;20210707;7256;530010.0;53;5
267;20210708;8068;530010.0;53;5
268;20210709;4926;530010.0;53;5
269;20210710;921;530010.0;53;5
270;20210711;869;530010.0;53;5
271;20210712;4607;530010.0;53;5
272;20210713;5058;530010.0;53;5
273;20210714;4763;530010.0;53;5
274;20210715;3898;530010.0;53;5
275;20210716;4706;530010.0;53;5
276;20210717;1331;530010.0;53;5
277;20210718;1438;530010.0;53;5
278;20210719;7160;530010.0;53;5
279;20210720;5780;530010.0;53;5
280;20210721;6782;530010.0;53;5
281;20210722;7552;530010.0;53;5
282;20210723;26548;530010.0;53;5
283;20210724;13305;530010.0;53;5
284;20210725;5969;530010.0;53;5
285;20210726;4957;530010.0;53;5
286;20210727;6429;530010.0;53;5
287;20210728;5645;530010.0;53;5
288;20210729;16725;530010.0;53;5
289;20210730;8179;530010.0;53;5
290;20210731;3073;530010.0;53;5
291;20210801;1470;530010.0;53;5
292;20210802;5441;530010.0;53;5
293;20210803;29335;530010.0;53;5
294;20210804;17829;530010.0;53;5
295;20210805;11029;530010.0;53;5
296;20210806;8332;530010.0;53;5
297;20210807;2057;530010.0;53;5
298;20210808;838;530010.0;53;5
299;20210809;7644;530010.0;53;5
300;20210810;28951;530010.0;53;5
301;20210811;17931;530010.0;53;5
302;20210812;34445;530010.0;53;5
303;20210813;20670;530010.0;53;5
304;20210814;4985;530010.0;53;5
305;20210815;1610;530010.0;53;5
306;20210816;12977;530010.0;53;5
307;20210817;20491;530010.0;53;5
308;20210818;13052;530010.0;53;5
309;20210819;10971;530010.0;53;5
310;20210820;8296;530010.0;53;5
311;20210821;1330;530010.0;53;5
312;20210822;819;530010.0;53;5
313;20210823;6426;530010.0;53;5
314;20210824;13490;530010.0;53;5
315;20210825;7943;530010.0;53;5
316;20210826;7649;530010.0;53;5
317;20210827;6541;530010.0;53;5
318;20210828;1216;530010.0;53;5
319;20210829;597;530010.0;53;5
320;20210830;6086;530010.0;53;5
321;20210831;8738;530010.0;53;5
322;20210901;7346;530010.0;53;5
323;20210902;6324;530010.0;53;5
324;20210903;5455;530010.0;53;5
325;20210904;937;530010.0;53;5
326;20210905;629;530010.0;53;5
327;20210906;5040;530010.0;53;5
328;20210907;438;530010.0;53;5
329;20210908;13376;530010.0;53;5
330;20210909;12960;530010.0;53;5
331;20210910;13644;530010.0;53;5
332;20210911;2676;530010.0;53;5
333;20210912;1100;530010.0;53;5
334;20210913;9172;530010.0;53;5
335;20210914;8026;530010.0;53;5
336;20210915;13126;530010.0;53;5
337;20210916;9570;530010.0;53;5
338;20210917;6796;530010.0;53;5
339;20210918;1354;530010.0;53;5
340;20210919;455;530010.0;53;5
341;20210920;5387;530010.0;53;5
342;20210921;8691;530010.0;53;5
343;20210922;6463;530010.0;53;5
344;20210923;11989;530010.0;53;5
345;20210924;8827;530010.0;53;5
346;20210925;2228;530010.0;53;5
347;20210926;955;530010.0;53;5
348;20210927;9486;530010.0;53;5
349;20210928;12651;530010.0;53;5
350;20210929;10398;530010.0;53;5
351;20210930;7957;530010.0;53;5
352;20211001;6286;530010.0;53;5
353;20211002;1106;530010.0;53;5
354;20211003;484;530010.0;53;5
355;20211004;5411;530010.0;53;5
356;20211005;6389;530010.0;53;5
357;20211006;10913;530010.0;53;5
358;20211007;8386;530010.0;53;5
359;20211008;13656;530010.0;53;5
360;20211009;2359;530010.0;53;5
361;20211010;1195;530010.0;53;5
362;20211011;10553;530010.0;53;5
363;20211012;808;530010.0;53;5
364;20211013;9148;530010.0;53;5
365;20211014;10205;530010.0;53;5
366;20211015;10514;530010.0;53;5
367;20211016;1881;530010.0;53;5
368;20211017;968;530010.0;53;5
